sample,group,generation,treatment,run
C1,F0_C,F0,C,run1
C2,F0_C,F0,C,run1
C3,F0_C,F0,C,run1
C4,F0_C,F0,C,run1
C5,F0_C,F0,C,run1
C6,F0_C,F0,C,run1
C7,F0_C,F0,C,run1
C8,F0_C,F0,C,run1
C9,F0_C,F0,C,run1
C10,F0_C,F0,C,run1
C11,F0_C,F0,C,run1
C11-t.r,F0_C,F0,C,run2
C12,F1_C,F1,C,run1
C12-t.r,F1_C,F1,C,run2
C13,F1_C,F1,C,run1
C14,F1_C,F1,C,run1
C15,F1_C,F1,C,run1
C16,F1_C,F1,C,run1
C17,F1_C,F1,C,run1
C18,F1_C,F1,C,run1
C19,F2_C,F2,C,run1
C19-t.r,F2_C,F2,C,run2
C20,F2_C,F2,C,run1
C21,F2_C,F2,C,run1
C22,F2_C,F2,C,run1
C23,F2_C,F2,C,run1
C24,F2_C,F2,C,run1
C25,F2_C,F2,C,run1
C26,F2_C,F2,C,run1
C27,F2_C,F2,C,run1
C28,F2_C,F2,C,run1
C29,F2_C,F2,C,run1
C30,F2_C,F2,C,run1
C31,F2_C,F2,C,run1
C32,F2_C,F2,C,run1
C33,F2_C,F2,C,run1
C34,F2_C,F2,C,run1
L1,F0_L,F0,L,run1
L2,F0_L,F0,L,run1
L3,F0_L,F0,L,run1
L4,F0_L,F0,L,run1
L5,F0_L,F0,L,run1
L6,F0_L,F0,L,run1
L6-t.r,F0_L,F0,L,run2
L7,F0_L,F0,L,run1
L8,F0_L,F0,L,run1
L9,F0_L,F0,L,run1
L10,F1_L,F1,L,run1
L11,F1_L,F1,L,run1
L11-t.r,F1_L,F1,L,run2
L12,F1_L,F1,L,run1
L13,F1_L,F1,L,run1
L14,F1_L,F1,L,run1
L15,F2_L,F2,L,run1
L16,F2_L,F2,L,run1
L17,F2_L,F2,L,run1
L18,F2_L,F2,L,run1
L19,F2_L,F2,L,run1
L20,F2_L,F2,L,run1
L21,F2_L,F2,L,run1
L22,F2_L,F2,L,run1
L23,F2_L,F2,L,run1
L24,F2_L,F2,L,run1
L25,F2_L,F2,L,run1
L26,F2_L,F2,L,run1
L27,F2_L,F2,L,run1
L28,F2_L,F2,L,run1
L29,F2_L,F2,L,run1
L29-t.r,F2_L,F2,L,run2
L30,F2_L,F2,L,run1
H1,F0_H,F0,H,run1
H2,F0_H,F0,H,run1
H3,F0_H,F0,H,run1
H4,F0_H,F0,H,run1
H5,F0_H,F0,H,run1
H6,F0_H,F0,H,run1
H7,F0_H,F0,H,run1
H8,F0_H,F0,H,run1
H9,F0_H,F0,H,run1
H10,F0_H,F0,H,run1
H10-t.r,F0_H,F0,H,run2
H11,F0_H,F0,H,run1
H12,F1_H,F1,H,run1
H13,F1_H,F1,H,run1
H13-t.r,F1_H,F1,H,run2
H14,F1_H,F1,H,run1
H15,F1_H,F1,H,run1
H16,F1_H,F1,H,run1
H17,F1_H,F1,H,run1
H18,F1_H,F1,H,run1
H19,F2_H,F2,H,run1
H20,F2_H,F2,H,run1
H21,F2_H,F2,H,run1
H22,F2_H,F2,H,run1
H23,F2_H,F2,H,run1
H24,F2_H,F2,H,run1
H25,F2_H,F2,H,run1
H26,F2_H,F2,H,run1
H27,F2_H,F2,H,run1
H28,F2_H,F2,H,run1
H29,F2_H,F2,H,run1
H30,F2_H,F2,H,run1
H31,F2_H,F2,H,run1
H32,F2_H,F2,H,run1
H32-t.r,F2_H,F2,H,run2
H33,F2_H,F2,H,run1
H34,F2_H,F2,H,run1
m.c,mock,mock,mock,run1
m.c-2,mock,mock,mock,run2
m.c-3,mock,mock,mock,run3
n.c,neg,neg,neg,run1
