sample,group,short_reads_1,short_reads_2,long_reads
H3,F0_H,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_185/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_185_S97_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_185/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_185_S97_L004_R2_001.fastq.gz,
H4,F0_H,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_189/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_189_S101_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_189/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_189_S101_L004_R2_001.fastq.gz,
H7,F0_H,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_116/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_116_S28_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_116/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_116_S28_L004_R2_001.fastq.gz,
H5,F0_H,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_121/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_121_S33_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_121/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_121_S33_L004_R2_001.fastq.gz,
H10,F0_H,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_154/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_154_S66_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_154/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_154_S66_L004_R2_001.fastq.gz,
H10_t.r,F0_H,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_184/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_184_S96_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_184/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_184_S96_L004_R2_001.fastq.gz,
H1,F0_H,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_167/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_167_S79_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_167/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_167_S79_L004_R2_001.fastq.gz,
H9,F0_H,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_176/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_176_S88_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_176/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_176_S88_L004_R2_001.fastq.gz,
H8,F0_H,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_106/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_106_S18_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_106/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_106_S18_L004_R2_001.fastq.gz,
H11,F0_H,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_145/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_145_S57_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_145/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_145_S57_L004_R2_001.fastq.gz,
H2,F0_H,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_109/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_109_S21_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_109/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_109_S21_L004_R2_001.fastq.gz,
H6,F0_H,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_183/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_183_S95_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_183/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_183_S95_L004_R2_001.fastq.gz,
