sample,group,short_reads_1,short_reads_2,long_reads
C22,F2_C,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_146/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_146_S58_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_146/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_146_S58_L004_R2_001.fastq.gz,
C19_t.r,F2_C,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_214/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_214_S118_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_214/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_214_S118_L004_R2_001.fastq.gz,
C30,F2_C,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_207/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_207_S111_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_207/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_207_S111_L004_R2_001.fastq.gz,
C26,F2_C,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_150/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_150_S62_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_150/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_150_S62_L004_R2_001.fastq.gz,
C21,F2_C,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_163/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_163_S75_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_163/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_163_S75_L004_R2_001.fastq.gz,
C29,F2_C,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_147/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_147_S59_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_147/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_147_S59_L004_R2_001.fastq.gz,
C27,F2_C,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_103/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_103_S15_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_103/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_103_S15_L004_R2_001.fastq.gz,
C28,F2_C,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_148/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_148_S60_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_148/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_148_S60_L004_R2_001.fastq.gz,
C20,F2_C,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_123/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_123_S35_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_123/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_123_S35_L004_R2_001.fastq.gz,
C24,F2_C,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_139/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_139_S51_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_139/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_139_S51_L004_R2_001.fastq.gz,
C19,F2_C,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_212/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_212_S116_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_212/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_212_S116_L004_R2_001.fastq.gz,
C34,F2_C,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_171/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_171_S83_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_171/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_171_S83_L004_R2_001.fastq.gz,
C31,F2_C,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_137/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_137_S49_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_137/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_137_S49_L004_R2_001.fastq.gz,
C25,F2_C,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_126/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_126_S38_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_126/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_126_S38_L004_R2_001.fastq.gz,
C32,F2_C,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_133/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_133_S45_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_133/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_133_S45_L004_R2_001.fastq.gz,
C23,F2_C,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_102/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_102_S14_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_102/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_102_S14_L004_R2_001.fastq.gz,
